# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,40,80,0,960
2,0,46,80,0,960
2,0,48,80,0,960
2,0,55,80,0,960
2,0,58,80,0,960
1,0,60,80,0,960
1,0,67,80,0,960
2,0,40,80,960,1920
2,0,45,80,960,1920
2,0,49,80,960,1920
2,0,54,80,960,1920
2,0,57,80,960,1920
1,0,61,80,960,1920
1,0,66,80,960,1920
2,0,40,80,1920,2880
2,0,46,80,1920,2880
2,0,48,80,1920,2880
2,0,55,80,1920,2880
2,0,58,80,1920,2880
1,0,60,80,1920,2880
1,0,67,80,1920,2880
2,0,40,80,2880,3840
2,0,45,80,2880,3840
2,0,49,80,2880,3840
2,0,54,80,2880,3840
2,0,57,80,2880,3840
1,0,61,80,2880,3840
1,0,66,80,2880,3840
2,0,38,80,3840,5760
2,0,44,80,3840,5760
2,0,48,80,3840,5760
2,0,53,80,3840,5760
2,0,56,80,3840,5760
1,0,60,80,3840,5760
1,0,65,80,3840,5760
1,0,72,80,3840,5760
2,0,37,80,5760,7680
2,0,47,80,5760,7680
2,0,53,80,5760,7680
2,0,56,80,5760,7680
1,0,61,80,5760,6480
1,0,61,80,6240,7680
1,0,68,80,6480,6720
1,0,63,80,6720,7200
1,0,65,80,7200,7680
2,0,37,80,7680,9600
2,0,47,80,7680,9600
2,0,53,80,7680,9600
2,0,56,80,7680,9600
1,0,61,80,7680,9600
1,0,65,80,7680,7920
1,0,66,80,7920,8160
1,0,68,80,8160,9120
1,0,68,80,9120,9600
2,0,37,80,9600,11520
2,0,47,80,9600,11520
2,0,53,80,9600,11520
2,0,56,80,9600,11520
1,0,61,80,9600,11520
1,0,68,80,9600,10320
1,0,68,80,10320,10560
1,0,68,80,10560,10800
1,0,68,80,10800,11040
1,0,70,80,11040,11280
1,0,71,80,11280,11520
2,0,42,80,11520,13440
2,0,52,80,11520,13440
2,0,54,80,11520,13440
2,0,58,80,11520,13440
1,0,61,80,11520,13440
1,0,61,80,11520,13440
1,0,73,80,12000,12480
1,0,66,80,12480,12960
1,0,76,80,12960,13440
2,0,42,80,13440,15360
2,0,52,80,13440,15360
2,0,54,80,13440,15360
2,0,58,80,13440,15360
1,0,61,80,13440,15360
1,0,66,80,13920,14160
1,0,68,80,14160,14400
1,0,70,80,14400,14640
1,0,70,80,14640,14880
1,0,71,80,14880,15120
1,0,72,80,15120,15360
2,0,42,80,15360,17280
2,0,52,80,15360,17280
2,0,54,80,15360,17280
2,0,58,80,15360,17280
1,0,61,80,15360,17280
1,0,73,80,15360,15840
1,0,66,80,15840,16320
1,0,76,80,15840,16320
1,0,73,80,16320,16800
1,0,73,80,16800,17280
1,0,82,80,16800,17280
2,0,42,80,17280,19200
2,0,52,80,17280,19200
2,0,54,80,17280,19200
2,0,58,80,17280,19200
1,0,61,80,17280,19200
1,0,73,80,17280,18000
1,0,73,80,18000,18240
1,0,75,80,18240,18720
1,0,76,80,18720,19200
2,0,47,80,19200,21120
2,0,57,80,19200,21120
2,0,59,80,19200,21120
1,0,63,80,19200,21120
1,0,66,80,19200,21120
1,0,71,80,19200,21120
1,0,78,80,19200,20640
1,0,83,80,19680,20160
1,0,75,80,20160,20640
1,0,75,80,20640,21120
2,0,47,80,21120,23040
2,0,57,80,21120,23040
2,0,59,80,21120,23040
1,0,63,80,21120,23040
1,0,66,80,21120,23040
1,0,71,80,21120,23040
1,0,71,80,21120,23040
1,0,78,80,21600,22080
1,0,81,80,22080,22560
1,0,83,80,22560,23040
2,0,47,80,23040,24960
2,0,57,80,23040,24960
2,0,59,80,23040,24960
1,0,63,80,23040,24960
1,0,66,80,23040,24960
1,0,71,80,23040,24960
1,0,90,80,23520,24000
1,0,87,80,24000,24960
2,0,40,80,24960,26880
2,0,46,80,24960,26880
2,0,48,80,24960,26880
2,0,55,80,24960,26880
2,0,58,80,24960,26880
1,0,60,80,24960,26400
1,0,67,80,24960,25920
1,0,67,80,24960,26880
1,0,60,80,25920,26880
2,0,40,80,26880,28800
2,0,46,80,26880,28800
2,0,48,80,26880,28800
2,0,55,80,26880,28800
2,0,58,80,26880,28800
1,0,60,80,26880,28800
1,0,67,80,26880,28320
1,0,72,80,26880,27840
1,0,67,80,27840,28560
1,0,67,80,28320,28800
1,0,69,80,28560,28800
2,0,38,80,28800,30720
2,0,46,80,28800,30720
2,0,53,80,28800,30720
2,0,55,80,28800,30720
2,0,58,80,28800,30720
1,0,65,80,28800,30720
1,0,67,80,28800,30720
1,0,70,80,28800,29760
1,0,70,80,29760,30240
2,0,38,80,30720,32640
2,0,46,80,30720,32640
2,0,53,80,30720,32640
2,0,55,80,30720,32640
2,0,58,80,30720,32640
1,0,65,80,30720,32640
1,0,67,80,30720,32640
1,0,70,80,31680,32400
1,0,70,80,32400,32640
2,0,37,80,32640,34560
2,0,45,80,32640,34560
2,0,52,80,32640,34560
2,0,55,80,32640,34560
2,0,57,80,32640,34560
1,0,64,80,32640,34560
1,0,67,80,32640,34560
1,0,69,80,32640,34080
1,0,69,80,34080,34560
2,0,37,80,34560,36480
2,0,45,80,34560,36480
2,0,52,80,34560,36480
2,0,55,80,34560,36480
2,0,57,80,34560,36480
1,0,64,80,34560,36480
1,0,67,80,34560,36480
1,0,69,80,34560,35520
1,0,69,80,35520,36000
2,0,36,80,36480,36960
2,0,48,80,36480,37440
2,0,51,80,36480,37440
2,0,54,80,36480,37440
2,0,57,80,36480,37440
1,0,60,80,36480,38400
1,0,63,80,36480,38400
1,0,66,80,36480,38400
1,0,69,80,36480,38400
1,0,72,80,36480,38400
1,0,72,80,36480,38400
2,0,42,80,37440,37500
2,0,43,80,37440,37500
2,0,44,80,37440,37500
2,0,45,80,37440,38400
2,0,54,80,37440,37500
2,0,55,80,37440,37500
2,0,56,80,37440,37500
2,0,57,80,37440,38400
2,0,48,80,38400,40320
2,0,51,80,38400,40320
2,0,54,80,38400,40320
2,0,57,80,38400,40320
1,0,60,80,38400,40320
1,0,72,80,38400,38880
2,0,42,80,39360,39420
2,0,43,80,39360,39420
2,0,44,80,39360,39420
2,0,45,80,39360,40320
1,0,72,80,39360,40080
1,0,72,80,40080,40320
2,0,45,80,40320,42240
2,0,51,80,40320,42240
2,0,53,80,40320,42240
1,0,60,80,40320,42240
1,0,63,80,40320,42240
1,0,65,80,40320,42240
1,0,72,80,40320,41280
1,0,72,80,40320,41520
1,0,72,80,41280,41760
1,0,72,80,41520,42120
1,0,72,80,41760,42240
1,0,72,80,42120,42240
2,0,45,80,42240,44160
2,0,50,80,42240,44160
2,0,54,80,42240,44160
2,0,59,80,42240,44160
1,0,62,80,42240,44160
1,0,66,80,42240,44040
1,0,71,80,42240,42720
1,0,71,80,42240,43200
1,0,71,80,42720,44160
1,0,66,80,43680,44160
1,0,66,80,44040,44160
2,0,43,80,44160,46080
2,0,49,80,44160,45660
2,0,53,80,44160,45840
2,0,58,80,44160,45660
1,0,61,80,44160,45660
1,0,65,80,44160,45120
1,0,65,80,44160,45840
1,0,70,80,44160,45600
1,0,73,80,44160,46080
1,0,77,80,44160,46080
1,0,70,80,45120,45960
2,0,46,80,45600,45660
2,0,48,80,45600,45660
2,0,49,80,45600,46080
