# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,51,80,0,1920
2,0,55,80,0,960
1,0,61,80,0,1920
1,0,63,80,0,960
1,0,63,80,0,960
2,0,56,80,960,1440
1,0,65,80,960,1440
1,0,65,80,960,1440
2,0,58,80,1440,1920
1,0,67,80,1440,1920
1,0,67,80,1440,1920
2,0,56,80,1920,3840
1,0,60,80,1920,2640
1,0,63,80,1920,2640
1,0,68,80,1920,2640
1,0,68,80,1920,2640
1,0,61,80,2640,2880
1,0,67,80,2640,2880
1,0,70,80,2640,2880
1,0,70,80,2640,2880
1,0,63,80,2880,3840
1,0,68,80,2880,3840
1,0,72,80,2880,3840
1,0,72,80,2880,3840
2,0,53,80,3840,5760
1,0,65,80,3840,4800
1,0,68,80,3840,4800
1,0,72,80,3840,4800
1,0,72,80,3840,4800
1,0,60,80,4800,5280
1,0,65,80,4800,5280
1,0,68,80,4800,5280
1,0,68,80,4800,5280
2,0,56,80,5280,5760
1,0,65,80,5280,5760
1,0,72,80,5280,5760
1,0,72,80,5280,5760
2,0,48,80,5760,7680
2,0,55,80,5760,6720
1,0,63,80,5760,7680
1,0,72,80,5760,6720
1,0,72,80,5760,6720
2,0,51,80,6720,7680
1,0,67,80,6720,7680
1,0,67,80,6720,7680
2,0,46,80,7680,9600
2,0,53,80,7680,9120
1,0,61,80,7680,9600
1,0,70,80,7680,8640
1,0,70,80,7680,8640
1,0,65,80,8640,9120
1,0,65,80,8640,9120
2,0,58,80,9120,9600
1,0,65,80,9120,9600
1,0,65,80,9120,9600
2,0,53,80,9600,10560
2,0,56,80,9600,10560
1,0,60,80,9600,10560
1,0,68,80,9600,10320
1,0,68,80,9600,10320
1,0,67,80,10320,10560
1,0,67,80,10320,10560
2,0,50,80,10560,11520
2,0,56,80,10560,11520
1,0,60,80,10560,11520
1,0,65,80,10560,11520
1,0,65,80,10560,11520
2,0,55,80,11520,12000
1,0,60,80,11520,12480
1,0,64,80,11520,12480
1,0,67,80,11520,12480
1,0,67,80,11520,12480
2,0,43,80,12000,12480
2,0,50,80,12480,12960
1,0,60,80,12480,12960
1,0,65,80,12480,13440
1,0,69,80,12480,12960
1,0,69,80,12480,12960
2,0,55,80,12960,13440
1,0,62,80,12960,13440
1,0,71,80,12960,13440
1,0,71,80,12960,13440
2,0,55,80,13440,13920
2,0,55,80,13440,14400
1,0,65,80,13440,14400
1,0,71,80,13440,14400
1,0,71,80,13440,14400
2,0,50,80,13920,14400
2,0,48,80,14400,14880
2,0,55,80,14400,14880
1,0,64,80,14400,14880
1,0,72,80,14400,14880
1,0,72,80,14400,14880
2,0,46,80,15360,16320
2,0,58,80,15360,16320
1,0,65,80,15360,15840
1,0,73,80,15360,16320
1,0,73,80,15360,16320
1,0,61,80,15840,16320
2,0,49,80,16320,17280
2,0,53,80,16320,17280
1,0,65,80,16320,17280
1,0,72,80,16320,16800
1,0,72,80,16320,16800
1,0,70,80,16800,17280
1,0,70,80,16800,17280
2,0,48,80,17280,19200
2,0,55,80,17280,19200
1,0,64,80,17280,19200
1,0,72,80,17280,18000
1,0,72,80,17280,18000
1,0,67,80,18000,18240
1,0,67,80,18000,18240
1,0,67,80,18240,19200
1,0,67,80,18240,19200
2,0,49,80,19200,21120
2,0,53,80,19200,19680
1,0,65,80,19200,20160
1,0,70,80,19200,20160
