# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,43,80,0,1440
2,0,55,80,0,1440
1,0,71,80,0,1440
2,0,59,80,480,960
1,0,62,80,480,960
1,0,67,80,480,960
2,0,59,80,960,1440
1,0,62,80,960,1440
1,0,67,80,960,1440
2,0,38,80,1440,2880
2,0,50,80,1440,2880
1,0,74,80,1440,2880
1,0,62,80,1920,2400
1,0,67,80,1920,2400
1,0,71,80,1920,2400
1,0,62,80,2400,2880
1,0,67,80,2400,2880
1,0,71,80,2400,2880
2,0,31,80,2880,4320
2,0,43,80,2880,4320
1,0,79,80,2880,4320
2,0,59,80,3360,3840
1,0,67,80,3360,3840
1,0,71,80,3360,3840
2,0,59,80,3840,4320
1,0,67,80,3840,4320
1,0,71,80,3840,4320
2,0,59,80,4320,4800
2,0,59,80,4320,4800
2,0,59,80,4320,4800
1,0,62,80,4320,4800
1,0,62,80,4320,4800
1,0,67,80,4320,4800
1,0,67,80,4320,4800
1,0,71,80,4320,4800
1,0,74,80,4320,4800
1,0,79,80,4320,4800
2,0,57,80,4800,5280
2,0,57,80,4800,5280
2,0,57,80,4800,5280
1,0,60,80,4800,5280
1,0,60,80,4800,5280
1,0,66,80,4800,5280
1,0,66,80,4800,5280
1,0,69,80,4800,5280
1,0,72,80,4800,5280
1,0,78,80,4800,5280
2,0,55,80,5280,5760
2,0,55,80,5280,5760
2,0,55,80,5280,5760
2,0,59,80,5280,5760
2,0,59,80,5280,5760
1,0,64,80,5280,5760
1,0,64,80,5280,5760
1,0,67,80,5280,5760
1,0,71,80,5280,5760
1,0,76,80,5280,5760
2,0,45,80,5760,6240
2,0,54,80,5760,6720
2,0,57,80,5760,6240
2,0,57,80,5760,6720
1,0,60,80,5760,6720
1,0,63,80,5760,6720
1,0,66,80,5760,6720
1,0,72,80,5760,6720
1,0,75,80,5760,6720
2,0,57,80,6240,6720
1,0,60,80,6240,6720
1,0,63,80,6240,6720
2,0,54,80,6720,7200
2,0,57,80,6720,7200
2,0,57,80,6720,7200
1,0,60,80,6720,7200
1,0,60,80,6720,7200
1,0,64,80,6720,7200
1,0,64,80,6720,7200
1,0,66,80,6720,7200
