# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,45,80,0,480
1,0,60,80,0,240
1,0,64,80,240,480
1,0,69,80,480,720
1,0,64,80,720,960
1,0,60,80,960,1200
1,0,64,80,1200,1440
1,0,69,80,1440,1680
1,0,64,80,1680,1920
2,0,57,80,1920,3840
1,0,60,80,1920,2160
1,0,72,80,1920,2160
1,0,64,80,2160,2400
1,0,72,80,2160,2400
1,0,69,80,2400,2640
1,0,76,80,2400,2640
1,0,64,80,2640,2880
1,0,72,80,2640,2880
1,0,60,80,2880,3120
1,0,69,80,2880,3360
1,0,64,80,3120,3360
1,0,69,80,3360,3600
1,0,71,80,3360,3600
1,0,64,80,3600,3840
1,0,72,80,3600,3840
2,0,55,80,3840,5760
1,0,60,80,3840,4080
1,0,69,80,3840,4560
1,0,64,80,4080,4320
1,0,69,80,4320,4800
1,0,64,80,4560,4800
1,0,60,80,4800,5040
1,0,69,80,4800,5280
1,0,64,80,5040,5280
1,0,69,80,5280,5520
1,0,64,80,5520,5760
2,0,53,80,5760,7680
1,0,60,80,5760,6000
1,0,69,80,5760,6240
1,0,65,80,6000,6240
1,0,69,80,6240,6480
1,0,69,80,6240,6480
1,0,65,80,6480,6720
1,0,71,80,6480,6720
1,0,60,80,6720,6960
1,0,72,80,6720,6960
1,0,65,80,6960,7200
1,0,71,80,6960,7200
1,0,69,80,7200,7440
1,0,72,80,7200,7440
1,0,65,80,7440,7680
1,0,74,80,7440,7680
2,0,48,80,7680,8640
2,0,57,80,7680,7920
1,0,76,80,7680,9600
1,0,64,80,7920,8160
1,0,69,80,8160,8400
1,0,64,80,8400,8640
2,0,47,80,8640,9600
2,0,57,80,8640,8880
1,0,62,80,8880,9120
1,0,69,80,9120,9360
1,0,62,80,9360,9600
2,0,45,80,9600,10560
1,0,60,80,9600,9840
1,0,67,80,9840,10080
1,0,76,80,9840,10080
1,0,69,80,10080,10320
1,0,77,80,10080,10320
1,0,67,80,10320,10560
1,0,79,80,10320,10560
2,0,50,80,10560,11520
1,0,60,80,10560,10800
1,0,74,80,10560,11520
1,0,65,80,10800,11040
1,0,69,80,11040,11280
1,0,65,80,11280,11520
2,0,43,80,11520,12480
2,0,59,80,11520,11760
1,0,74,80,11520,11760
1,0,65,80,11760,12000
1,0,74,80,11760,12000
1,0,67,80,12000,12240
1,0,76,80,12000,12240
1,0,65,80,12240,12480
1,0,77,80,12240,12480
2,0,48,80,12480,13440
2,0,58,80,12480,12720
1,0,72,80,12480,13440
1,0,64,80,12720,12960
1,0,67,80,12960,13200
1,0,64,80,13200,13440
2,0,41,80,13440,14400
2,0,57,80,13440,13680
1,0,72,80,13440,13680
1,0,60,80,13680,13920
1,0,72,80,13680,13920
1,0,65,80,13920,14160
1,0,71,80,13920,14160
1,0,60,80,14160,14400
1,0,72,80,14160,14400
2,0,53,80,14400,14640
1,0,65,80,14400,14880
1,0,69,80,14400,14880
1,0,69,80,14400,14880
1,0,60,80,14640,15120
1,0,68,80,14880,15360
1,0,71,80,14880,15360
1,0,71,80,14880,15360
1,0,60,80,15120,15360
1,0,60,80,15360,15600
1,0,69,80,15360,15840
1,0,72,80,15360,15840
1,0,72,80,15360,15840
1,0,60,80,15600,16080
1,0,71,80,15840,16320
1,0,74,80,15840,16320
1,0,74,80,15840,16320
1,0,60,80,16080,16320
2,0,48,80,16320,16800
1,0,72,80,16320,16560
1,0,76,80,16320,16560
1,0,76,80,16320,17280
1,0,64,80,16560,16800
1,0,67,80,16800,17040
1,0,72,80,17040,17280
2,0,43,80,17280,17520
1,0,64,80,17280,17520
1,0,67,80,17280,17520
1,0,72,80,17280,17520
1,0,76,80,17280,17520
1,0,76,80,17280,17760
1,0,60,80,17520,17760
1,0,76,80,17520,18240
1,0,64,80,17760,18000
1,0,79,80,17760,18000
1,0,60,80,18000,18240
1,0,76,80,18000,18240
2,0,55,80,18240,18480
1,0,72,80,18240,18720
1,0,76,80,18240,18720
1,0,60,80,18480,18720
1,0,64,80,18720,18960
1,0,74,80,18720,18960
1,0,60,80,18960,19200
1,0,76,80,18960,19200
2,0,40,80,19200,19260
2,0,52,80,19200,20160
1,0,60,80,19200,19440
1,0,64,80,19200,19440
1,0,69,80,19200,19440
1,0,72,80,19200,19440
1,0,72,80,19200,19440
1,0,64,80,19440,19680
1,0,72,80,19440,19680
1,0,69,80,19680,19920
1,0,76,80,19680,19920
1,0,64,80,19920,20160
1,0,72,80,19920,20160
2,0,52,80,20160,21120
1,0,60,80,20160,20400
1,0,69,80,20160,20640
1,0,64,80,20400,20640
1,0,62,80,20640,20880
1,0,68,80,20640,20880
1,0,71,80,20640,20880
1,0,64,80,20880,21120
1,0,72,80,20880,21120
2,0,45,80,21120,22080
2,0,52,80,21120,22080
1,0,60,80,21120,21360
1,0,69,80,21120,21840
1,0,64,80,21360,21600
1,0,69,80,21600,22080
1,0,64,80,21840,22080
1,0,60,80,22080,22560
1,0,69,80,22080,22560
2,0,52,80,22560,23040
2,0,45,80,23040,24960
2,0,52,80,23040,24000
1,0,61,80,23040,23280
1,0,69,80,23040,23280
1,0,69,80,23040,23280
2,0,59,80,23280,23520
1,0,68,80,23280,23520
1,0,68,80,23280,23520
1,0,62,80,23520,23760
1,0,71,80,23520,23760
1,0,71,80,23520,23760
1,0,61,80,23760,24000
1,0,69,80,23760,24000
1,0,69,80,23760,24000
2,0,52,80,24000,24240
1,0,66,80,24000,24480
1,0,74,80,24000,24480
1,0,74,80,24000,24480
2,0,57,80,24240,24720
1,0,64,80,24480,24720
1,0,73,80,24480,24720
1,0,73,80,24480,24720
2,0,57,80,24720,24960
1,0,66,80,24720,24960
1,0,74,80,24720,24960
1,0,74,80,24720,24960
2,0,45,80,24960,25920
2,0,54,80,24960,25920
1,0,73,80,24960,25200
1,0,73,80,24960,25920
1,0,62,80,25200,25440
1,0,66,80,25440,25680
1,0,62,80,25680,25920
1,0,71,80,25920,26160
1,0,71,80,25920,26400
1,0,66,80,26160,26400
1,0,78,80,26400,26640
1,0,74,80,26640,26880
2,0,45,80,26880,28800
2,0,54,80,26880,27840
1,0,62,80,26880,27360
1,0,71,80,26880,27360
1,0,71,80,26880,27360
1,0,61,80,27360,27600
1,0,70,80,27360,27600
1,0,70,80,27360,27600
1,0,62,80,27600,27840
1,0,71,80,27600,27840
1,0,71,80,27600,27840
2,0,54,80,27840,28080
1,0,64,80,27840,28080
1,0,73,80,27840,28080
1,0,73,80,27840,28080
2,0,57,80,28080,28560
1,0,62,80,28080,28320
1,0,71,80,28080,28320
1,0,71,80,28080,28320
1,0,68,80,28320,28560
1,0,76,80,28320,28560
1,0,76,80,28320,28560
2,0,57,80,28560,28800
1,0,66,80,28560,28800
1,0,74,80,28560,28800
1,0,74,80,28560,28800
2,0,45,80,28800,30720
2,0,55,80,28800,30720
2,0,57,80,28800,30720
1,0,64,80,28800,29040
1,0,73,80,28800,29040
1,0,73,80,28800,29520
1,0,64,80,29040,29280
1,0,73,80,29280,29760
1,0,69,80,29520,29760
1,0,73,80,29760,30240
1,0,76,80,29760,30000
1,0,73,80,30000,30240
1,0,81,80,30240,30480
1,0,76,80,30480,30720
2,0,45,80,30720,30960
1,0,69,80,30720,30960
1,0,73,80,30720,30960
2,0,52,80,30960,31200
1,0,71,80,30960,31200
1,0,74,80,30960,31200
2,0,57,80,31200,31440
1,0,73,80,31200,31440
1,0,76,80,31200,31440
1,0,61,80,31440,31680
1,0,76,80,31440,31680
1,0,79,80,31440,31680
1,0,74,80,31680,32160
1,0,77,80,31680,32160
1,0,70,80,31920,32160
1,0,65,80,32160,32400
1,0,72,80,32160,32400
1,0,76,80,32160,32400
1,0,62,80,32400,32640
1,0,70,80,32400,32640
1,0,74,80,32400,32640
2,0,45,80,32640,32880
1,0,69,80,32640,32880
1,0,73,80,32640,32880
1,0,73,80,32640,33360
2,0,52,80,32880,33120
1,0,71,80,32880,33120
1,0,74,80,32880,33120
2,0,57,80,33120,33360
1,0,73,80,33120,33600
1,0,76,80,33120,33360
1,0,61,80,33360,33600
1,0,76,80,33360,33600
1,0,79,80,33360,33600
1,0,74,80,33600,34080
1,0,74,80,33600,34080
1,0,77,80,33600,34080
1,0,70,80,33840,34080
1,0,65,80,34080,34320
1,0,72,80,34080,34320
1,0,76,80,34080,34320
1,0,62,80,34320,34560
1,0,70,80,34320,34560
1,0,74,80,34320,34560
2,0,43,80,34560,34800
1,0,69,80,34560,34800
1,0,73,80,34560,34800
1,0,73,80,34560,34800
2,0,52,80,34800,35040
1,0,71,80,34800,35040
1,0,74,80,34800,35040
1,0,74,80,34800,35040
2,0,57,80,35040,35280
1,0,73,80,35040,35520
1,0,76,80,35040,35520
1,0,76,80,35040,35520
1,0,61,80,35280,35520
1,0,68,80,35520,36000
1,0,76,80,35520,35760
1,0,79,80,35520,35760
1,0,79,80,35520,35760
1,0,74,80,35760,36000
1,0,77,80,35760,36000
1,0,77,80,35760,36000
1,0,73,80,36000,36240
1,0,76,80,36000,36240
1,0,76,80,36000,36240
1,0,71,80,36240,36480
1,0,74,80,36240,36480
1,0,74,80,36240,36480
2,0,45,80,36480,36720
1,0,69,80,36480,36720
1,0,73,80,36480,36720
1,0,73,80,36480,36960
1,0,76,80,36480,37200
2,0,52,80,36720,36960
1,0,71,80,36720,36960
1,0,74,80,36720,36960
2,0,57,80,36960,37200
1,0,73,80,36960,37200
1,0,76,80,36960,38400
1,0,61,80,37200,37440
1,0,82,80,37200,37440
1,0,67,80,37440,37920
1,0,81,80,37440,37680
1,0,79,80,37680,37920
2,0,57,80,37920,38400
1,0,77,80,37920,38160
1,0,76,80,38160,38400
1,0,62,80,38400,39360
1,0,77,80,38400,38880
1,0,65,80,38640,38880
1,0,69,80,38880,39120
1,0,76,80,38880,39120
1,0,74,80,39120,39360
1,0,77,80,39120,39360
1,0,60,80,39360,40320
1,0,62,80,39360,40320
1,0,74,80,39360,40320
1,0,65,80,39600,39840
1,0,69,80,39840,40080
1,0,74,80,40080,40320
2,0,58,80,40320,41280
1,0,62,80,40320,41280
1,0,74,80,40320,40800
1,0,65,80,40560,40800
1,0,70,80,40800,41040
1,0,74,80,40800,41280
1,0,74,80,41040,41280
2,0,55,80,41280,42240
1,0,62,80,41280,42240
1,0,76,80,41280,41760
1,0,64,80,41520,41760
1,0,70,80,41760,42000
1,0,77,80,41760,42240
1,0,73,80,42000,42240
2,0,50,80,42240,42480
1,0,74,80,42240,43680
2,0,57,80,42480,42720
1,0,62,80,42720,42960
1,0,65,80,42960,43200
1,0,69,80,43200,43440
1,0,74,80,43440,44160
1,0,77,80,43680,43920
1,0,81,80,43920,44160
2,0,47,80,44160,44400
1,0,77,80,44160,45120
2,0,53,80,44400,44640
1,0,86,80,44400,44640
1,0,89,80,44400,44640
2,0,56,80,44640,44880
1,0,84,80,44640,44880
1,0,88,80,44640,44880
1,0,62,80,44880,45120
1,0,83,80,44880,45120
1,0,86,80,44880,45120
2,0,51,80,45120,45360
1,0,72,80,45120,46080
1,0,60,80,45360,45600
1,0,81,80,45360,45600
1,0,84,80,45360,45600
1,0,65,80,45600,45840
1,0,79,80,45600,45840
1,0,83,80,45600,45840
1,0,69,80,45840,46080
1,0,77,80,45840,46080
1,0,81,80,45840,46080
1,0,76,80,46080,46320
1,0,80,80,46080,46320
1,0,64,80,46320,46560
1,0,63,80,46560,46800
1,0,63,80,46560,46800
1,0,62,80,46800,47040
1,0,64,80,46800,47040
1,0,61,80,47040,47280
1,0,65,80,47040,47280
1,0,60,80,47280,47520
1,0,66,80,47280,47520
2,0,59,80,47520,47760
1,0,67,80,47520,47760
2,0,58,80,47760,48000
1,0,68,80,47760,48000
2,0,45,80,48000,48960
2,0,57,80,48000,48960
1,0,60,80,48000,48240
1,0,72,80,48000,48480
1,0,64,80,48240,48480
1,0,69,80,48480,48720
1,0,76,80,48480,48720
1,0,64,80,48720,48960
1,0,72,80,48720,48960
2,0,57,80,48960,49920
1,0,60,80,48960,49200
1,0,69,80,48960,49200
1,0,64,80,49200,49440
1,0,69,80,49200,49440
1,0,69,80,49440,49680
1,0,71,80,49440,49680
1,0,64,80,49680,49920
1,0,72,80,49680,49920
2,0,55,80,49920,51840
1,0,60,80,49920,50160
1,0,69,80,49920,50640
1,0,76,80,49920,50400
1,0,64,80,50160,50400
1,0,69,80,50400,50880
1,0,81,80,50400,50640
1,0,64,80,50640,50880
1,0,76,80,50640,50880
1,0,60,80,50880,51120
1,0,69,80,50880,51360
1,0,72,80,50880,51360
1,0,64,80,51120,51360
1,0,69,80,51360,51600
1,0,74,80,51360,51600
1,0,64,80,51600,51840
1,0,69,80,51600,51840
1,0,76,80,51600,51840
2,0,53,80,51840,52800
2,0,57,80,51840,52080
1,0,60,80,51840,52320
1,0,69,80,51840,52320
1,0,72,80,51840,52320
1,0,60,80,52080,52320
1,0,65,80,52320,52560
1,0,60,80,52560,52800
1,0,69,80,52560,52800
1,0,72,80,52560,52800
2,0,52,80,52800,53760
2,0,57,80,52800,53040
1,0,71,80,52800,53040
1,0,74,80,52800,53040
1,0,60,80,53040,53280
1,0,69,80,53040,53280
1,0,72,80,53040,53280
1,0,65,80,53280,53520
1,0,71,80,53280,53520
1,0,74,80,53280,53520
1,0,60,80,53520,53760
1,0,72,80,53520,53760
1,0,76,80,53520,53760
2,0,50,80,53760,54720
1,0,60,80,53760,54480
1,0,74,80,53760,54000
1,0,77,80,53760,54720
1,0,65,80,54000,54240
1,0,68,80,54240,54480
1,0,65,80,54480,54720
1,0,74,80,54480,54720
2,0,55,80,54720,55680
1,0,64,80,54720,54960
1,0,72,80,54720,54960
1,0,62,80,54960,55200
1,0,71,80,54960,55200
1,0,60,80,55200,55440
1,0,69,80,55200,55440
2,0,59,80,55440,55680
1,0,67,80,55440,55680
2,0,48,80,55680,56640
1,0,60,80,55680,56160
1,0,76,80,55680,55920
1,0,60,80,55920,56400
1,0,76,80,55920,56160
1,0,64,80,56160,56400
1,0,77,80,56160,56400
1,0,67,80,56400,56640
1,0,79,80,56400,56640
2,0,59,80,56640,57600
1,0,74,80,56640,57600
1,0,65,80,56880,57120
1,0,67,80,57120,57360
1,0,68,80,57360,57600
2,0,48,80,57600,58560
2,0,58,80,57600,58080
1,0,74,80,57600,57840
2,0,58,80,57840,58320
1,0,74,80,57840,58080
1,0,61,80,58080,58320
1,0,76,80,58080,58320
1,0,67,80,58320,58560
1,0,77,80,58320,58560
2,0,48,80,58560,59520
2,0,57,80,58560,59520
1,0,72,80,58560,59520
1,0,65,80,58800,59040
2,0,58,80,59040,59280
1,0,67,80,59040,59280
2,0,59,80,59280,59520
1,0,68,80,59280,59520
2,0,53,80,59520,61440
2,0,57,80,59520,59760
1,0,60,80,59520,59760
1,0,69,80,59520,59760
1,0,69,80,59520,60000
1,0,60,80,59760,60000
1,0,69,80,60000,60240
1,0,69,80,60000,60240
1,0,60,80,60240,60480
1,0,71,80,60240,60480
2,0,57,80,60480,60720
1,0,72,80,60480,60720
1,0,60,80,60720,60960
1,0,71,80,60720,60960
1,0,69,80,60960,61200
1,0,72,80,60960,61200
1,0,60,80,61200,61440
1,0,74,80,61200,61440
2,0,41,80,61440,61680
1,0,63,80,61440,62880
1,0,69,80,61440,62880
1,0,75,80,61440,62880
1,0,75,80,61440,62880
2,0,48,80,61680,61920
2,0,53,80,61920,62160
1,0,60,80,62160,62400
1,0,65,80,62400,62640
1,0,60,80,62640,62880
2,0,53,80,62880,63120
1,0,63,80,62880,63120
1,0,69,80,62880,63120
1,0,75,80,62880,63120
1,0,75,80,62880,63360
2,0,48,80,63360,63600
1,0,64,80,63360,63600
1,0,67,80,63360,63600
1,0,72,80,63360,63600
1,0,76,80,63360,63600
1,0,60,80,63600,63840
1,0,76,80,63600,63840
1,0,64,80,63840,64080
1,0,79,80,63840,64080
1,0,60,80,64080,64320
1,0,76,80,64080,64320
2,0,55,80,64320,64560
1,0,72,80,64320,64800
1,0,60,80,64560,64800
1,0,64,80,64800,65040
1,0,74,80,64800,65040
1,0,60,80,65040,65280
1,0,76,80,65040,65280
2,0,52,80,65280,65760
1,0,60,80,65280,65760
1,0,64,80,65280,65760
1,0,69,80,65280,65760
1,0,72,80,65280,65520
1,0,72,80,65280,65760
1,0,72,80,65520,65760
1,0,76,80,65760,66240
2,0,52,80,66240,67200
1,0,60,80,66240,66720
1,0,64,80,66240,66720
1,0,69,80,66240,66480
1,0,69,80,66240,66720
1,0,69,80,66480,66720
1,0,62,80,66720,67200
1,0,64,80,66720,67200
1,0,68,80,66720,67200
1,0,71,80,66720,66960
1,0,72,80,66960,67200
2,0,45,80,67200,68160
2,0,52,80,67200,68160
1,0,60,80,67200,67440
1,0,69,80,67200,67920
1,0,64,80,67440,67680
1,0,69,80,67680,68880
1,0,64,80,67920,68160
2,0,45,80,68160,69120
2,0,52,80,68160,69120
1,0,60,80,68160,68400
1,0,64,80,68400,68640
1,0,69,80,68640,69120
1,0,64,80,68880,69120
2,0,45,80,69120,69600
2,0,52,80,69120,69600
1,0,60,80,69120,69600
