# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,36,80,0,360
2,0,43,80,360,480
2,0,55,80,480,720
2,0,43,80,720,960
2,0,36,80,960,1320
2,0,43,80,1320,1440
2,0,55,80,1440,1680
2,0,43,80,1680,1920
1,0,64,80,1680,1800
1,0,67,80,1680,1800
1,0,72,80,1800,1920
2,0,36,80,1920,2280
1,0,62,80,1920,2160
1,0,65,80,1920,2160
1,0,72,80,1920,2160
1,0,71,80,2160,2280
2,0,43,80,2280,2400
1,0,67,80,2280,2400
2,0,55,80,2400,2640
1,0,62,80,2400,2640
1,0,65,80,2400,2640
2,0,43,80,2640,2880
1,0,65,80,2640,2880
1,0,69,80,2640,2880
2,0,36,80,2880,3240
1,0,65,80,2880,3120
1,0,69,80,2880,3120
1,0,64,80,3120,3600
1,0,67,80,3120,3600
2,0,43,80,3240,3360
2,0,55,80,3360,3600
2,0,43,80,3600,3840
1,0,60,80,3600,3840
1,0,64,80,3600,3840
2,0,36,80,3840,4200
1,0,64,80,3840,3960
1,0,67,80,3840,3960
1,0,62,80,3960,4080
1,0,65,80,3960,4080
1,0,61,80,4080,4200
1,0,64,80,4080,4200
2,0,43,80,4200,4320
1,0,62,80,4200,4320
1,0,65,80,4200,4320
2,0,55,80,4320,4560
1,0,64,80,4320,4560
1,0,67,80,4320,4560
2,0,43,80,4560,4800
1,0,62,80,4560,4800
1,0,65,80,4560,4800
2,0,36,80,4800,5160
1,0,60,80,4800,5040
1,0,64,80,4800,5040
1,0,64,80,5040,5520
1,0,67,80,5040,5520
2,0,43,80,5160,5280
2,0,55,80,5280,5520
2,0,43,80,5520,5760
1,0,64,80,5520,5640
1,0,67,80,5520,5640
1,0,72,80,5640,5760
2,0,36,80,5760,6120
1,0,62,80,5760,6000
1,0,65,80,5760,6000
1,0,72,80,5760,6000
1,0,71,80,6000,6120
2,0,43,80,6120,6240
1,0,67,80,6120,6240
2,0,55,80,6240,6480
1,0,62,80,6240,6480
1,0,65,80,6240,6480
2,0,43,80,6480,6720
1,0,65,80,6480,6720
1,0,69,80,6480,6720
2,0,36,80,6720,7080
2,0,58,80,6720,7680
1,0,65,80,6720,6960
1,0,69,80,6720,6960
1,0,64,80,6960,7440
1,0,67,80,6960,7440
2,0,43,80,7080,7200
2,0,55,80,7200,7440
2,0,43,80,7440,7680
1,0,60,80,7440,7680
1,0,64,80,7440,7680
2,0,36,80,7680,8040
2,0,57,80,7680,8160
1,0,64,80,7680,7800
1,0,67,80,7680,7800
1,0,62,80,7800,7920
1,0,65,80,7800,7920
1,0,61,80,7920,8040
1,0,64,80,7920,8040
2,0,43,80,8040,8160
1,0,62,80,8040,8160
1,0,65,80,8040,8160
2,0,55,80,8160,8400
2,0,59,80,8160,8640
1,0,64,80,8160,8400
1,0,67,80,8160,8400
2,0,43,80,8400,8640
1,0,62,80,8400,8640
1,0,65,80,8400,8640
2,0,36,80,8640,9000
1,0,60,80,8640,9120
1,0,64,80,8640,9120
2,0,43,80,9000,9120
2,0,55,80,9120,9360
2,0,43,80,9360,9600
2,0,36,80,9600,9960
2,0,43,80,9960,10080
2,0,55,80,10080,10320
2,0,43,80,10320,10560
1,0,64,80,10320,10440
1,0,65,80,10440,10560
2,0,36,80,10560,10920
1,0,64,80,10560,11040
1,0,67,80,10560,10800
1,0,67,80,10560,10920
1,0,67,80,10800,11040
2,0,43,80,10920,11040
1,0,67,80,10920,11040
2,0,55,80,11040,11280
1,0,69,80,11040,11520
1,0,72,80,11040,11280
1,0,72,80,11040,11520
2,0,43,80,11280,11520
1,0,72,80,11280,11520
2,0,36,80,11520,11880
1,0,67,80,11520,12480
1,0,71,80,11520,12240
1,0,71,80,11520,12480
2,0,43,80,11880,12000
2,0,55,80,12000,12240
2,0,43,80,12240,12480
1,0,62,80,12240,12360
1,0,64,80,12360,12480
2,0,36,80,12480,12840
1,0,62,80,12480,12960
1,0,65,80,12480,12720
1,0,65,80,12480,12840
1,0,65,80,12720,12960
2,0,43,80,12840,12960
1,0,67,80,12840,12960
2,0,55,80,12960,13200
1,0,65,80,12960,13440
1,0,69,80,12960,13200
1,0,69,80,12960,13440
2,0,43,80,13200,13440
1,0,69,80,13200,13440
2,0,36,80,13440,13800
1,0,64,80,13440,14280
1,0,67,80,13440,13920
1,0,67,80,13440,14400
2,0,43,80,13800,13920
2,0,55,80,13920,14160
2,0,43,80,14160,14400
1,0,64,80,14160,14400
1,0,65,80,14280,14400
2,0,36,80,14400,14760
1,0,64,80,14400,14880
1,0,67,80,14400,14640
1,0,67,80,14400,14760
1,0,67,80,14640,14880
2,0,43,80,14760,14880
1,0,67,80,14760,14880
2,0,55,80,14880,15120
1,0,69,80,14880,15360
1,0,72,80,14880,15120
1,0,72,80,14880,15200
2,0,43,80,15120,15360
1,0,72,80,15120,15360
1,0,74,80,15200,15280
1,0,72,80,15280,15360
2,0,36,80,15360,15720
1,0,62,80,15360,16200
1,0,67,80,15360,16320
1,0,71,80,15360,16080
1,0,71,80,15360,16320
2,0,43,80,15720,15840
2,0,55,80,15840,16080
2,0,43,80,16080,16320
1,0,62,80,16080,16320
1,0,64,80,16200,16320
2,0,36,80,16320,16680
2,0,59,80,16320,16800
1,0,62,80,16320,16800
1,0,65,80,16320,16560
1,0,65,80,16560,16680
2,0,43,80,16680,16800
1,0,65,80,16680,16800
2,0,55,80,16800,17040
1,0,65,80,16800,17280
1,0,69,80,16800,17040
1,0,69,80,16800,17120
2,0,43,80,17040,17280
1,0,69,80,17040,17280
1,0,71,80,17120,17200
1,0,69,80,17200,17280
2,0,36,80,17280,17640
1,0,64,80,17280,18240
