# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,47,80,0,120
2,0,54,80,120,240
2,0,59,80,240,360
1,0,62,80,360,480
1,0,66,80,480,720
2,0,49,80,720,840
2,0,54,80,840,960
2,0,59,80,960,1080
1,0,64,80,1080,1200
1,0,66,80,1200,1440
2,0,47,80,1440,1560
2,0,54,80,1560,1680
2,0,59,80,1680,1800
1,0,62,80,1800,1920
1,0,66,80,1920,2160
2,0,49,80,2160,2280
2,0,54,80,2280,2400
2,0,59,80,2400,2520
1,0,64,80,2520,2640
1,0,66,80,2640,2880
1,0,78,80,2640,2880
2,0,47,80,2880,3000
1,0,86,80,2880,3360
2,0,54,80,3000,3120
2,0,59,80,3120,3240
1,0,62,80,3240,3360
1,0,66,80,3360,3600
1,0,83,80,3360,3600
2,0,49,80,3600,3720
1,0,81,80,3600,4080
2,0,54,80,3720,3840
2,0,59,80,3840,3960
1,0,64,80,3960,4080
1,0,66,80,4080,4320
1,0,78,80,4080,4320
2,0,47,80,4320,4440
1,0,74,80,4320,4800
2,0,54,80,4440,4560
2,0,59,80,4560,4680
1,0,62,80,4680,4800
1,0,66,80,4800,5040
1,0,71,80,4800,5040
2,0,49,80,5040,5160
1,0,69,80,5040,5520
2,0,54,80,5160,5280
2,0,59,80,5280,5400
1,0,64,80,5400,5520
1,0,66,80,5520,5760
2,0,47,80,5760,5880
1,0,62,80,5760,6240
2,0,54,80,5880,6000
2,0,59,80,6000,6120
1,0,62,80,6120,6480
1,0,66,80,6240,6480
2,0,49,80,6480,6600
2,0,59,80,6480,6840
2,0,54,80,6600,6720
2,0,59,80,6720,7200
1,0,64,80,6840,6960
1,0,66,80,6960,7200
2,0,47,80,7200,7920
2,0,54,80,7200,7440
2,0,59,80,7440,7560
1,0,62,80,7560,7680
1,0,66,80,7680,7920
2,0,49,80,7920,8640
2,0,54,80,8040,8160
2,0,59,80,8160,8280
1,0,64,80,8280,8400
1,0,66,80,8400,8640
2,0,47,80,8640,9360
2,0,54,80,8760,8880
2,0,59,80,8880,9000
1,0,62,80,9000,9120
1,0,66,80,9120,9360
2,0,49,80,9360,10080
2,0,54,80,9480,9600
2,0,59,80,9600,9720
1,0,64,80,9720,9840
1,0,66,80,9840,10080
1,0,66,80,9840,10080
2,0,47,80,10080,10800
1,0,74,80,10080,10560
2,0,54,80,10200,10320
2,0,59,80,10320,10440
1,0,62,80,10440,10560
1,0,66,80,10560,10800
1,0,71,80,10560,10800
2,0,49,80,10800,11520
1,0,69,80,10800,11280
2,0,54,80,10920,11040
2,0,59,80,11040,11160
1,0,64,80,11160,11280
1,0,66,80,11280,11520
1,0,66,80,11280,11520
2,0,47,80,11520,12240
1,0,67,80,11520,12240
2,0,54,80,11640,11760
