# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,59,80,0,480
1,0,65,80,120,240
1,0,74,80,240,360
1,0,68,80,360,480
1,0,62,80,480,840
1,0,68,80,600,720
1,0,77,80,720,840
1,0,64,80,840,960
1,0,71,80,840,960
1,0,65,80,960,1440
1,0,71,80,1080,1200
1,0,80,80,1200,1320
1,0,74,80,1320,1440
2,0,56,80,1440,1920
1,0,65,80,1560,1680
1,0,74,80,1680,1800
1,0,71,80,1800,1920
2,0,57,80,1920,2400
1,0,66,80,2040,2160
1,0,74,80,2160,2280
1,0,69,80,2280,2400
2,0,54,80,2400,2760
2,0,57,80,2520,2640
1,0,69,80,2640,2760
2,0,52,80,2760,2880
1,0,67,80,2760,2880
2,0,50,80,2880,3360
2,0,57,80,3000,3120
1,0,66,80,3120,3240
1,0,62,80,3240,3360
2,0,47,80,3360,3840
2,0,56,80,3480,3600
1,0,64,80,3600,3720
1,0,62,80,3720,3840
2,0,45,80,3840,5280
2,0,52,80,3840,5280
2,0,55,80,3840,5280
2,0,57,80,3840,5280
1,0,61,80,3840,5280
1,0,64,80,4080,4320
1,0,66,80,4320,4560
1,0,64,80,4560,4800
1,0,69,80,4800,5040
1,0,69,80,5040,5280
2,0,45,80,5280,5760
2,0,50,80,5280,5760
2,0,55,80,5280,5760
2,0,57,80,5280,5760
1,0,62,80,5280,5760
1,0,71,80,5280,5640
1,0,69,80,5640,5760
2,0,45,80,5760,7200
2,0,49,80,5760,7200
2,0,55,80,5760,7200
2,0,57,80,5760,7200
1,0,64,80,5760,7200
1,0,69,80,5760,7200
2,0,38,80,7680,8640
2,0,50,80,7680,8640
2,0,57,80,7680,8640
1,0,62,80,7680,8160
1,0,62,80,7680,8640
1,0,66,80,7680,8520
1,0,66,80,8160,8640
1,0,67,80,8520,8640
2,0,37,80,8640,9600
2,0,49,80,8640,9600
2,0,57,80,8640,9600
1,0,64,80,8640,9600
1,0,69,80,8640,9360
1,0,69,80,8640,9600
1,0,69,80,9360,9600
2,0,35,80,9600,10560
2,0,47,80,9600,10560
1,0,62,80,9600,10560
1,0,66,80,9600,10560
1,0,74,80,9600,10080
1,0,74,80,9600,10440
1,0,74,80,10080,10560
1,0,74,80,10440,10560
2,0,30,80,10560,11520
2,0,42,80,10560,11520
1,0,62,80,10560,11520
1,0,69,80,10560,11520
1,0,74,80,10560,11040
1,0,73,80,11040,11400
1,0,74,80,11400,11520
2,0,31,80,11520,12480
2,0,43,80,11520,12480
1,0,62,80,11520,12480
1,0,69,80,11520,12240
1,0,73,80,11520,12240
1,0,73,80,11520,12240
1,0,67,80,12240,12480
1,0,71,80,12240,12480
1,0,71,80,12240,12480
2,0,38,80,12480,12960
2,0,50,80,12480,12960
1,0,62,80,12480,12960
1,0,66,80,12480,12960
1,0,69,80,12480,12960
1,0,69,80,12480,12960
2,0,37,80,13440,14400
2,0,49,80,13440,14400
1,0,64,80,13440,13920
1,0,64,80,13440,14280
1,0,69,80,13440,14400
1,0,64,80,13920,14400
1,0,64,80,14280,14400
2,0,35,80,14400,14880
2,0,47,80,14400,14880
1,0,62,80,14400,14880
1,0,69,80,14400,15120
1,0,69,80,14400,15360
2,0,37,80,14880,15360
2,0,49,80,14880,15360
1,0,64,80,14880,15360
1,0,69,80,15120,15360
2,0,38,80,15360,16800
2,0,50,80,15360,16800
2,0,59,80,15360,15840
1,0,66,80,15360,16080
1,0,74,80,15360,16080
1,0,74,80,15360,16080
1,0,69,80,16080,16320
1,0,73,80,16080,16320
1,0,73,80,16080,16320
1,0,67,80,16320,16560
1,0,71,80,16320,16560
1,0,71,80,16320,16560
1,0,66,80,16560,16800
1,0,69,80,16560,16800
1,0,69,80,16560,16800
2,0,40,80,16800,17280
2,0,52,80,16800,17280
1,0,66,80,16800,17160
1,0,69,80,16800,17160
1,0,69,80,16800,17160
1,0,64,80,17160,17280
1,0,67,80,17160,17280
1,0,67,80,17160,17280
2,0,42,80,17280,18240
2,0,54,80,17280,18240
2,0,58,80,17280,18240
1,0,61,80,17280,18240
1,0,66,80,17280,18240
1,0,66,80,17280,18480
2,0,42,80,18240,18480
2,0,54,80,18240,18480
2,0,58,80,18240,18720
1,0,61,80,18240,18480
1,0,66,80,18240,18720
1,0,66,80,18600,18720
2,0,33,80,18720,19200
2,0,45,80,18720,19200
2,0,55,80,18720,19080
2,0,57,80,18720,19080
1,0,61,80,18720,19080
1,0,66,80,18720,19080
1,0,64,80,19080,19200
2,0,38,80,19200,19260
2,0,50,80,19200,19680
1,0,62,80,19200,19680
1,0,62,80,19200,20160
1,0,66,80,19200,20040
2,0,50,80,19680,20160
2,0,57,80,19680,20160
1,0,66,80,19680,20160
1,0,67,80,20040,20160
2,0,49,80,20160,21120
2,0,57,80,20160,21120
1,0,66,80,20160,21120
1,0,69,80,20160,20400
1,0,69,80,20160,20640
1,0,69,80,20400,21120
1,0,71,80,20640,20880
1,0,73,80,20880,21120
2,0,47,80,21120,21600
2,0,59,80,21120,21600
1,0,62,80,21120,21600
1,0,66,80,21120,21600
1,0,74,80,21120,22080
2,0,47,80,21600,22080
2,0,54,80,21600,22560
1,0,62,80,21600,22080
1,0,68,80,21600,22080
2,0,49,80,22080,23040
1,0,61,80,22080,23040
1,0,68,80,22080,23040
1,0,73,80,22080,23040
2,0,53,80,22560,23040
2,0,42,80,23040,24960
2,0,54,80,23040,24960
1,0,70,80,23040,23160
1,0,73,80,23040,23160
1,0,73,80,23040,23400
1,0,61,80,23160,23280
1,0,70,80,23280,23400
1,0,73,80,23280,23640
1,0,61,80,23400,23520
1,0,70,80,23520,23640
1,0,73,80,23520,23760
1,0,61,80,23640,23760
1,0,66,80,23760,23880
1,0,70,80,23760,23880
1,0,70,80,23760,24000
1,0,61,80,23880,24000
1,0,70,80,24000,24120
1,0,73,80,24000,24120
1,0,73,80,24000,24360
1,0,61,80,24120,24240
1,0,70,80,24240,24360
1,0,73,80,24240,24480
1,0,61,80,24360,24480
1,0,71,80,24480,24600
1,0,75,80,24480,24600
1,0,75,80,24480,24840
1,0,61,80,24600,24720
1,0,71,80,24720,24840
1,0,75,80,24720,24960
1,0,61,80,24840,24960
2,0,42,80,24960,26880
2,0,54,80,24960,26880
1,0,70,80,24960,25080
1,0,73,80,24960,25080
1,0,73,80,24960,25320
1,0,61,80,25080,25200
1,0,70,80,25200,25320
1,0,73,80,25200,25440
1,0,61,80,25320,25440
1,0,68,80,25440,25560
1,0,71,80,25440,25560
1,0,71,80,25440,25800
1,0,61,80,25560,25680
1,0,68,80,25680,25800
1,0,71,80,25680,25800
