# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,41,80,0,1440
2,0,48,80,0,720
2,0,57,80,0,720
1,0,60,80,0,720
1,0,65,80,0,720
1,0,69,80,0,720
1,0,72,80,0,720
2,0,50,80,720,1440
2,0,55,80,720,1440
2,0,58,80,720,1440
1,0,62,80,720,1440
1,0,67,80,720,1440
1,0,70,80,720,1440
2,0,41,80,1440,2880
2,0,48,80,1440,2160
2,0,57,80,1440,2160
1,0,60,80,1440,2160
1,0,65,80,1440,2160
1,0,69,80,1440,2160
1,0,72,80,1440,2160
2,0,50,80,2160,2880
2,0,55,80,2160,2880
2,0,58,80,2160,2880
1,0,62,80,2160,2880
1,0,67,80,2160,2880
1,0,70,80,2160,2880
2,0,41,80,2880,3360
2,0,48,80,2880,3600
2,0,57,80,2880,3600
1,0,60,80,2880,3600
1,0,65,80,2880,3600
1,0,69,80,2880,3600
1,0,72,80,2880,3600
2,0,41,80,3360,3600
2,0,41,80,3600,4320
2,0,49,80,3600,4320
2,0,55,80,3600,4320
2,0,58,80,3600,4320
1,0,63,80,3600,4320
1,0,67,80,3600,4320
1,0,70,80,3600,4320
2,0,41,80,4320,4800
2,0,48,80,4320,5040
2,0,57,80,4320,5040
1,0,60,80,4320,5040
1,0,65,80,4320,5040
1,0,69,80,4320,5040
1,0,72,80,4320,5040
2,0,41,80,4800,5040
2,0,41,80,5040,5520
2,0,46,80,5040,5760
2,0,55,80,5040,5760
2,0,58,80,5040,5760
1,0,62,80,5040,5760
1,0,67,80,5040,5760
1,0,70,80,5040,5760
2,0,41,80,5520,5760
1,0,65,80,5520,5760
2,0,53,80,5760,7200
2,0,57,80,5760,7200
1,0,60,80,5760,7200
1,0,65,80,5760,7200
1,0,69,80,5760,7200
1,0,72,80,5760,6240
1,0,72,80,5760,7200
1,0,74,80,6240,6480
2,0,29,80,6480,7200
2,0,36,80,6480,7200
2,0,41,80,6480,7200
1,0,75,80,6480,6720
1,0,74,80,6720,6960
1,0,72,80,6960,7200
2,0,53,80,7200,8640
2,0,58,80,7200,8640
1,0,60,80,7200,8640
1,0,62,80,7200,8640
1,0,65,80,7200,8640
1,0,70,80,7200,8400
1,0,72,80,7200,8640
1,0,74,80,7200,7920
2,0,29,80,7920,8640
2,0,36,80,7920,8640
2,0,41,80,7920,8640
1,0,70,80,7920,8640
1,0,74,80,8400,8640
2,0,53,80,8640,10080
1,0,60,80,8640,10080
1,0,62,80,8640,10080
1,0,65,80,8640,10080
1,0,69,80,8640,9600
1,0,72,80,8640,9120
1,0,72,80,8640,10080
1,0,70,80,9120,9360
2,0,29,80,9360,10080
2,0,36,80,9360,10080
2,0,41,80,9360,10080
1,0,69,80,9360,10080
1,0,70,80,9600,9840
1,0,72,80,9840,10080
2,0,50,80,10080,11520
2,0,53,80,10080,11520
2,0,58,80,10080,11520
1,0,60,80,10080,11520
1,0,62,80,10080,11520
1,0,65,80,10080,11520
1,0,67,80,10080,11520
1,0,70,80,10080,10800
1,0,72,80,10080,11520
2,0,29,80,10800,11520
2,0,36,80,10800,11520
2,0,41,80,10800,11520
1,0,67,80,10800,11520
2,0,48,80,11520,12960
2,0,53,80,11520,12960
2,0,57,80,11520,12960
1,0,60,80,11520,12960
1,0,65,80,11520,12960
1,0,69,80,11520,12000
1,0,69,80,11520,12960
1,0,72,80,11520,12480
1,0,70,80,12000,12240
2,0,29,80,12240,12960
2,0,36,80,12240,12960
2,0,41,80,12240,12960
1,0,72,80,12240,12960
1,0,70,80,12480,12720
1,0,69,80,12720,12960
2,0,48,80,12960,13680
2,0,50,80,12960,13680
2,0,53,80,12960,13680
2,0,58,80,12960,13680
1,0,62,80,12960,13680
1,0,65,80,12960,13680
1,0,70,80,12960,13680
1,0,72,80,12960,13680
1,0,74,80,12960,13440
1,0,74,80,12960,13680
1,0,70,80,13440,13680
2,0,48,80,13680,14400
2,0,53,80,13680,14400
2,0,55,80,13680,14400
1,0,60,80,13680,14400
1,0,62,80,13680,14400
1,0,67,80,13680,14160
1,0,67,80,13680,14400
1,0,72,80,13680,14400
1,0,76,80,13680,14400
1,0,72,80,14160,14400
2,0,48,80,14400,15120
2,0,50,80,14400,14880
2,0,57,80,14400,15120
1,0,60,80,14400,15120
1,0,63,80,14400,14880
1,0,65,80,14400,15120
1,0,69,80,14400,14880
1,0,69,80,14400,15120
1,0,72,80,14400,15120
2,0,41,80,14880,15120
2,0,48,80,14880,15120
1,0,64,80,14880,15120
1,0,65,80,14880,15120
2,0,41,80,15120,15840
2,0,55,80,15120,15840
2,0,58,80,15120,15840
1,0,67,80,15120,15360
1,0,67,80,15120,15840
1,0,70,80,15120,15840
1,0,65,80,15360,15600
1,0,64,80,15600,15840
2,0,53,80,15840,16320
2,0,57,80,15840,16320
1,0,60,80,15840,16560
1,0,65,80,15840,16560
1,0,65,80,15840,16560
1,0,69,80,15840,16560
1,0,72,80,15840,16560
2,0,41,80,16320,16560
2,0,48,80,16320,16560
2,0,41,80,16560,17280
2,0,50,80,16560,17280
2,0,55,80,16560,17280
2,0,58,80,16560,17040
1,0,62,80,16560,17040
1,0,65,80,16560,17040
1,0,67,80,16560,17040
1,0,70,80,16560,17040
1,0,65,80,17040,17280
2,0,58,80,17280,18000
1,0,62,80,17280,18000
1,0,64,80,17280,18000
1,0,68,80,17280,18000
1,0,72,80,17280,17760
1,0,72,80,17280,17760
1,0,70,80,17760,18000
1,0,74,80,17760,18000
2,0,56,80,18000,18720
1,0,60,80,18000,18720
1,0,66,80,18000,18720
1,0,69,80,18000,18480
1,0,75,80,18000,18240
1,0,74,80,18240,18480
1,0,72,80,18480,18720
1,0,72,80,18480,18720
2,0,55,80,18720,19440
2,0,58,80,18720,19440
1,0,62,80,18720,19440
1,0,65,80,18720,19440
1,0,70,80,18720,19200
1,0,74,80,18720,19440
1,0,69,80,19200,19440
2,0,53,80,19440,20160
2,0,55,80,19440,20160
2,0,58,80,19440,20160
1,0,63,80,19440,20160
1,0,67,80,19440,20160
1,0,70,80,19440,19920
1,0,74,80,19920,20160
2,0,46,80,20160,20880
2,0,55,80,20160,20880
1,0,63,80,20160,20880
1,0,69,80,20160,20640
1,0,69,80,20160,20640
1,0,72,80,20160,20640
1,0,67,80,20640,20880
1,0,67,80,20640,20880
1,0,70,80,20640,20880
2,0,46,80,20880,21360
2,0,53,80,20880,21600
1,0,62,80,20880,21600
1,0,65,80,20880,21360
1,0,65,80,20880,21600
1,0,69,80,20880,21120
1,0,70,80,21120,21360
2,0,45,80,21360,21600
1,0,69,80,21360,21600
1,0,72,80,21360,21600
2,0,43,80,21600,22320
1,0,62,80,21600,22320
1,0,67,80,21600,22080
1,0,67,80,21600,22080
1,0,70,80,21600,22320
1,0,65,80,22080,22320
1,0,65,80,22080,22320
2,0,48,80,22320,22800
1,0,60,80,22320,23040
1,0,64,80,22320,22800
1,0,64,80,22320,23040
1,0,67,80,22320,23040
2,0,46,80,22800,23040
1,0,60,80,22800,23040
2,0,45,80,23040,23520
2,0,53,80,23040,23760
2,0,58,80,23040,23760
2,0,58,80,23040,23760
1,0,62,80,23040,23520
1,0,62,80,23040,23760
2,0,44,80,23520,23760
1,0,65,80,23520,23760
2,0,43,80,23760,24240
2,0,51,80,23760,24240
1,0,63,80,23760,24240
1,0,65,80,23760,24240
2,0,42,80,24240,24480
2,0,52,80,24240,24480
1,0,64,80,24240,24480
1,0,67,80,24240,24480
2,0,41,80,24480,24960
2,0,52,80,24480,24960
2,0,55,80,24480,24960
1,0,60,80,24480,24960
1,0,65,80,24480,24960
1,0,69,80,24480,24960
2,0,39,80,24960,25200
2,0,54,80,24960,25440
1,0,70,80,24960,25200
2,0,38,80,25200,25680
1,0,60,80,25200,25680
1,0,62,80,25200,25680
1,0,66,80,25200,25680
1,0,72,80,25200,25680
2,0,31,80,25680,25920
2,0,43,80,25680,25920
1,0,72,80,25680,25920
2,0,31,80,25920,26400
2,0,43,80,25920,26400
2,0,59,80,25920,26400
1,0,62,80,25920,26400
1,0,65,80,25920,26400
1,0,68,80,25920,26400
1,0,70,80,25920,26400
1,0,77,80,25920,26400
1,0,77,80,25920,26400
1,0,80,80,25920,26400
1,0,86,80,25920,26400
1,0,89,80,25920,26400
1,0,65,80,26400,26640
1,0,69,80,26400,27120
2,0,48,80,26640,27120
2,0,58,80,26640,27120
1,0,62,80,26640,27120
1,0,64,80,26640,27120
1,0,67,80,26640,26880
1,0,71,80,26640,26880
1,0,72,80,26880,27120
1,0,72,80,26880,27120
