# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,41,80,0,240
2,0,57,80,0,240
1,0,65,80,0,240
1,0,69,80,0,480
2,0,45,80,480,720
2,0,53,80,480,720
1,0,60,80,480,720
1,0,65,80,480,720
1,0,72,80,480,960
2,0,46,80,960,1200
2,0,55,80,960,1200
1,0,62,80,960,1200
1,0,67,80,960,1200
1,0,72,80,960,1320
1,0,70,80,1320,1440
2,0,48,80,1440,1680
1,0,60,80,1440,1680
1,0,64,80,1440,1680
1,0,67,80,1440,1920
2,0,41,80,1920,2160
2,0,57,80,1920,2160
1,0,65,80,1920,2160
1,0,69,80,1920,2400
2,0,45,80,2400,2640
2,0,53,80,2400,2640
1,0,60,80,2400,2640
1,0,65,80,2400,2640
1,0,72,80,2400,2880
2,0,46,80,2880,3120
2,0,55,80,2880,3120
1,0,62,80,2880,3120
1,0,67,80,2880,3120
1,0,72,80,2880,3240
1,0,70,80,3240,3360
2,0,48,80,3360,3600
1,0,60,80,3360,3600
1,0,64,80,3360,3600
1,0,67,80,3360,3840
2,0,41,80,3840,4080
2,0,57,80,3840,4080
1,0,65,80,3840,4080
1,0,69,80,3840,4320
1,0,72,80,3840,4200
1,0,70,80,4200,4320
2,0,45,80,4320,4560
2,0,53,80,4320,4560
1,0,60,80,4320,4560
1,0,65,80,4320,4560
1,0,69,80,4320,4680
1,0,72,80,4320,4800
1,0,67,80,4680,4800
2,0,46,80,4800,5040
2,0,55,80,4800,5040
1,0,62,80,4800,5040
1,0,65,80,4800,5280
1,0,67,80,4800,5040
1,0,72,80,4800,5160
1,0,70,80,5160,5280
2,0,48,80,5280,5520
1,0,60,80,5280,5520
1,0,60,80,5280,5640
1,0,64,80,5280,5520
1,0,67,80,5280,5760
1,0,60,80,5640,5760
2,0,41,80,5760,6000
2,0,43,80,5760,6240
2,0,48,80,5760,6000
2,0,50,80,5760,6240
2,0,57,80,5760,6000
1,0,65,80,5760,6000
1,0,65,80,5760,6120
1,0,69,80,5760,6240
1,0,69,80,6120,6240
2,0,58,80,6240,6600
1,0,67,80,6240,6600
1,0,67,80,6240,6600
1,0,74,80,6240,6720
2,0,57,80,6600,6720
1,0,65,80,6600,6720
1,0,65,80,6600,6720
2,0,48,80,6720,7680
2,0,55,80,6720,7080
1,0,60,80,6720,7560
1,0,64,80,6720,7080
1,0,72,80,6720,7200
2,0,53,80,7080,7200
1,0,62,80,7080,7200
2,0,52,80,7200,7560
1,0,60,80,7200,7680
1,0,67,80,7200,7680
2,0,50,80,7560,7680
2,0,58,80,7560,7680
2,0,41,80,7680,8160
2,0,49,80,7680,8160
2,0,57,80,7680,8160
1,0,69,80,7680,8040
1,0,69,80,7680,8400
1,0,67,80,8040,8160
2,0,34,80,8160,8640
2,0,50,80,8160,8640
2,0,58,80,8160,8640
1,0,65,80,8160,8280
1,0,69,80,8280,8640
1,0,65,80,8400,8640
2,0,43,80,8640,9120
2,0,52,80,8640,9600
2,0,59,80,8640,9120
1,0,67,80,8640,8760
1,0,67,80,8640,9360
1,0,64,80,8760,9120
2,0,45,80,9120,9600
1,0,60,80,9120,9600
1,0,60,80,9120,9600
1,0,64,80,9360,9600
2,0,50,80,9600,10080
2,0,57,80,9600,10080
1,0,60,80,9600,10080
1,0,65,80,9600,9960
1,0,65,80,9600,10080
1,0,64,80,9960,10080
2,0,43,80,10080,10560
2,0,55,80,10080,10560
2,0,59,80,10080,10560
1,0,62,80,10080,10560
1,0,65,80,10080,10200
1,0,62,80,10200,10560
2,0,48,80,10560,10800
2,0,55,80,10560,10800
1,0,60,80,10560,10680
1,0,60,80,10560,10800
1,0,64,80,10560,10800
1,0,72,80,10680,11040
2,0,53,80,11040,11520
2,0,58,80,11040,11520
1,0,62,80,11040,11520
1,0,67,80,11040,11520
1,0,72,80,11040,11280
1,0,70,80,11280,11520
