# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,29,80,240,960
1,0,64,80,640,960
2,0,47,80,720,960
2,0,54,80,720,960
2,0,58,80,720,960
2,0,29,80,1920,2640
2,0,47,80,1920,2160
2,0,54,80,1920,2160
2,0,58,80,1920,2160
1,0,65,80,1920,2640
2,0,58,80,2160,2400
2,0,54,80,2400,3120
2,0,29,80,2640,3360
1,0,63,80,2640,2880
1,0,64,80,2880,3200
2,0,47,80,3120,3360
2,0,47,80,3120,3840
2,0,58,80,3360,3600
1,0,65,80,3520,3840
2,0,29,80,3600,3840
2,0,54,80,3600,3840
2,0,40,80,3840,4320
1,0,62,80,4000,4160
2,0,51,80,4080,4320
1,0,60,80,4080,4320
1,0,63,80,4160,4320
2,0,36,80,4320,4800
2,0,56,80,4320,4560
1,0,69,80,4320,5040
2,0,49,80,4560,5040
2,0,29,80,4800,5280
2,0,57,80,5040,5280
1,0,68,80,5040,5280
2,0,42,80,5280,5760
2,0,47,80,5280,5520
2,0,53,80,5280,5520
1,0,64,80,5280,5520
2,0,48,80,5520,5760
2,0,55,80,5520,5760
2,0,58,80,5520,5760
1,0,63,80,5520,5760
2,0,43,80,5760,6720
2,0,47,80,5760,6720
2,0,51,80,5760,6720
2,0,56,80,5760,6720
1,0,61,80,5760,6120
1,0,67,80,6120,6240
1,0,65,80,6240,6720
1,0,60,80,6480,6720
1,0,61,80,6720,7080
2,0,42,80,6960,7200
2,0,48,80,6960,7200
2,0,55,80,6960,7200
2,0,58,80,6960,7200
1,0,63,80,7080,7200
2,0,43,80,7200,7680
2,0,47,80,7200,7680
2,0,51,80,7200,7680
2,0,56,80,7200,7680
1,0,61,80,7200,7440
1,0,61,80,7200,7560
1,0,62,80,7440,7680
1,0,67,80,7560,7680
2,0,53,80,7680,8160
2,0,58,80,7680,8160
1,0,64,80,7680,8160
1,0,66,80,7680,8040
1,0,72,80,7680,7800
2,0,45,80,7800,8160
1,0,75,80,7800,8160
1,0,64,80,8040,8160
1,0,65,80,8160,8520
2,0,55,80,8280,8520
1,0,60,80,8280,8520
1,0,63,80,8280,8400
1,0,71,80,8280,8400
2,0,44,80,8400,8640
1,0,64,80,8400,8640
1,0,75,80,8400,8640
2,0,53,80,8520,8640
2,0,58,80,8520,8640
1,0,64,80,8520,8640
1,0,67,80,8640,8880
2,0,55,80,8760,9120
1,0,60,80,8760,9120
1,0,63,80,8760,9120
1,0,71,80,8760,9000
1,0,65,80,8880,9120
2,0,49,80,9000,9120
1,0,74,80,9000,9120
2,0,50,80,9120,9600
2,0,54,80,9120,9600
2,0,59,80,9120,9600
1,0,64,80,9120,9600
1,0,69,80,9120,9360
1,0,73,80,9120,9360
1,0,67,80,9240,9360
1,0,65,80,9360,9480
1,0,68,80,9360,9600
1,0,72,80,9360,9600
1,0,66,80,9480,9600
1,0,72,80,9600,9840
2,0,49,80,9720,9960
2,0,55,80,9720,9960
1,0,60,80,9720,9960
1,0,63,80,9720,9840
1,0,74,80,9720,9840
1,0,64,80,9840,10080
1,0,67,80,9840,10080
1,0,69,80,9840,10080
1,0,73,80,9840,10080
2,0,50,80,9960,10080
2,0,54,80,9960,10080
2,0,58,80,9960,10080
2,0,50,80,10080,10200
2,0,54,80,10080,10200
2,0,58,80,10080,10200
1,0,64,80,10080,10200
1,0,67,80,10080,10200
1,0,71,80,10080,10200
1,0,75,80,10080,10400
1,0,76,80,10400,10560
2,0,56,80,10440,10800
1,0,60,80,10440,10800
1,0,65,80,10440,10800
1,0,69,80,10440,10800
1,0,73,80,10440,10800
1,0,78,80,10440,10800
1,0,69,80,10800,11280
2,0,55,80,10920,11280
2,0,59,80,10920,11280
1,0,64,80,10920,11280
1,0,71,80,10920,11280
1,0,75,80,10920,11280
1,0,80,80,10920,11280
1,0,65,80,11280,11520
2,0,56,80,11400,11760
1,0,60,80,11400,11760
1,0,65,80,11400,11760
1,0,69,80,11400,11760
1,0,73,80,11400,11760
1,0,78,80,11400,11760
2,0,55,80,11880,12000
2,0,59,80,11880,12000
1,0,64,80,11880,12000
1,0,71,80,11880,12000
1,0,75,80,11880,12000
1,0,80,80,11880,12000
2,0,55,80,12000,12240
2,0,59,80,12000,12240
1,0,64,80,12000,12240
1,0,71,80,12000,12240
1,0,71,80,12000,12240
1,0,75,80,12000,12240
1,0,80,80,12000,12240
1,0,71,80,12240,12480
2,0,24,80,12360,12720
2,0,36,80,12360,12600
2,0,41,80,12360,12600
2,0,45,80,12360,12600
1,0,61,80,12600,12720
2,0,49,80,12720,12960
2,0,54,80,12720,12960
2,0,58,80,12720,12960
1,0,64,80,12720,12840
1,0,70,80,12840,12960
1,0,75,80,12960,13200
2,0,34,80,13200,13680
2,0,39,80,13200,13680
2,0,43,80,13200,13680
2,0,50,80,13200,13680
2,0,55,80,13200,13680
2,0,59,80,13200,13680
1,0,78,80,13200,13440
1,0,74,80,13440,13680
2,0,36,80,13680,13920
2,0,41,80,13680,13920
2,0,45,80,13680,13920
2,0,49,80,13680,13920
2,0,54,80,13680,13920
2,0,58,80,13680,13920
1,0,72,80,13680,13920
1,0,73,80,13920,14640
2,0,34,80,14160,14640
2,0,39,80,14160,14640
2,0,43,80,14160,14640
2,0,50,80,14160,14640
2,0,55,80,14160,14640
2,0,59,80,14160,14640
1,0,69,80,14640,14880
1,0,68,80,14880,15120
1,0,67,80,15120,15360
2,0,33,80,15240,15360
2,0,38,80,15240,15360
2,0,42,80,15240,15360
2,0,51,80,15240,15360
2,0,56,80,15240,15360
1,0,60,80,15240,15360
2,0,33,80,15360,15600
2,0,38,80,15360,15600
2,0,42,80,15360,15600
2,0,51,80,15360,15600
2,0,56,80,15360,15600
1,0,60,80,15360,15600
1,0,64,80,15720,15840
1,0,68,80,15720,15840
1,0,72,80,15720,15840
1,0,77,80,15720,15840
1,0,82,80,15720,15840
1,0,62,80,15840,16200
1,0,67,80,15840,16200
1,0,73,80,15840,16200
1,0,75,80,15840,16200
1,0,87,80,15840,16200
1,0,65,80,16000,16160
1,0,70,80,16160,16320
2,0,51,80,16320,16800
2,0,57,80,16320,16800
2,0,59,80,16320,16480
1,0,61,80,16320,16640
1,0,65,80,16320,16800
1,0,70,80,16320,16800
1,0,76,80,16320,16560
1,0,61,80,16480,16800
1,0,78,80,16560,16800
1,0,62,80,16640,16800
1,0,66,80,16800,17040
2,0,33,80,16920,17280
2,0,38,80,16920,17280
2,0,42,80,16920,17280
2,0,51,80,16920,17280
2,0,56,80,16920,17280
1,0,60,80,16920,17280
1,0,71,80,17040,17280
1,0,72,80,17280,17520
1,0,68,80,17440,17760
1,0,71,80,17440,17760
1,0,74,80,17440,17760
1,0,78,80,17440,17760
1,0,82,80,17440,17760
1,0,88,80,17440,17600
1,0,74,80,17520,17760
1,0,91,80,17600,17760
1,0,81,80,17760,18480
2,0,30,80,17920,18080
2,0,48,80,18080,18240
2,0,55,80,18240,18400
2,0,59,80,18400,18560
1,0,68,80,18480,18720
1,0,63,80,18560,18720
1,0,66,80,18720,18960
1,0,77,80,18960,19440
1,0,60,80,19320,19440
1,0,62,80,19440,19560
1,0,73,80,19440,19680
1,0,66,80,19560,19680
1,0,75,80,19680,19920
2,0,51,80,19920,20160
2,0,57,80,19920,20160
1,0,61,80,19920,20160
1,0,68,80,19920,20160
1,0,72,80,19920,20160
1,0,74,80,19920,20160
1,0,75,80,20160,20400
1,0,73,80,20400,20640
1,0,77,80,20400,20640
2,0,51,80,20640,20880
2,0,57,80,20640,20880
1,0,61,80,20640,20880
1,0,65,80,20640,20880
1,0,68,80,20640,21120
1,0,72,80,20640,20880
2,0,52,80,20880,21120
2,0,55,80,20880,21120
1,0,63,80,20880,21120
1,0,63,80,20880,21120
1,0,74,80,20880,21120
2,0,51,80,21120,21360
2,0,57,80,21120,21360
1,0,61,80,21120,21360
1,0,68,80,21120,21360
