# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,71,80,0,240
2,0,40,80,1440,1800
2,0,47,80,1440,1800
2,0,52,80,1440,1800
2,0,56,80,1440,1800
2,0,59,80,1440,1800
1,0,64,80,1440,1800
1,0,76,80,1440,2160
2,0,54,80,1800,1860
1,0,66,80,1800,1860
2,0,56,80,1860,1920
1,0,68,80,1860,1920
2,0,57,80,1920,1980
1,0,69,80,1920,1980
2,0,59,80,1980,2040
1,0,71,80,1980,2040
1,0,60,80,2040,2100
1,0,72,80,2040,2100
1,0,62,80,2100,2160
1,0,74,80,2100,2160
1,0,64,80,2160,2400
1,0,68,80,2160,2400
1,0,68,80,2160,2400
1,0,71,80,2160,2400
1,0,76,80,2160,2400
1,0,69,80,2400,2640
1,0,71,80,2640,2880
2,0,45,80,2880,3240
2,0,52,80,2880,3240
2,0,57,80,2880,3240
1,0,60,80,2880,3240
1,0,64,80,2880,3240
1,0,69,80,2880,3240
1,0,72,80,2880,3360
2,0,59,80,3240,3300
1,0,71,80,3240,3300
1,0,60,80,3300,3360
1,0,72,80,3300,3360
1,0,62,80,3360,3420
1,0,64,80,3360,3480
1,0,74,80,3360,3420
1,0,64,80,3420,3600
1,0,76,80,3420,3480
1,0,66,80,3480,3540
1,0,78,80,3480,3540
1,0,68,80,3540,3600
1,0,80,80,3540,3600
1,0,69,80,3600,3840
1,0,72,80,3600,3840
1,0,76,80,3600,3840
1,0,81,80,3600,3840
1,0,64,80,3840,4080
1,0,63,80,4080,4320
1,0,62,80,4320,4800
1,0,62,80,4320,5760
1,0,66,80,4320,5760
1,0,72,80,4320,5280
1,0,74,80,4320,5040
1,0,74,80,4800,5760
1,0,72,80,5040,5760
1,0,67,80,5280,5520
1,0,69,80,5520,5760
1,0,67,80,5760,7200
1,0,76,80,5760,7200
2,0,59,80,7200,7920
1,0,63,80,7200,7920
1,0,67,80,7200,7920
1,0,71,80,7200,7560
1,0,71,80,7200,7920
1,0,75,80,7200,7560
1,0,83,80,7200,7560
1,0,85,80,7560,7620
1,0,87,80,7620,7680
1,0,88,80,7680,7740
1,0,90,80,7740,7800
1,0,92,80,7800,7860
1,0,94,80,7860,7920
1,0,71,80,7920,8160
1,0,75,80,7920,8160
1,0,79,80,7920,8160
