# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,37,80,0,960
1,0,61,80,0,240
1,0,65,80,0,240
1,0,65,80,0,480
2,0,56,80,240,480
1,0,61,80,480,720
1,0,65,80,480,720
2,0,56,80,720,960
1,0,65,80,720,960
2,0,36,80,960,1920
1,0,63,80,960,1200
1,0,66,80,960,1200
1,0,68,80,960,1440
2,0,56,80,1200,1440
1,0,63,80,1440,1680
1,0,66,80,1440,1680
1,0,68,80,1440,1920
2,0,56,80,1680,1920
2,0,37,80,1920,2400
1,0,61,80,1920,2160
1,0,65,80,1920,2160
1,0,73,80,1920,2280
2,0,56,80,2160,2400
1,0,73,80,2280,2400
2,0,41,80,2400,2880
1,0,61,80,2400,2640
1,0,68,80,2400,2640
1,0,77,80,2400,2560
1,0,75,80,2560,2720
2,0,56,80,2640,2880
1,0,73,80,2720,2880
2,0,44,80,2880,3360
1,0,60,80,2880,3120
1,0,68,80,2880,3120
1,0,75,80,2880,3360
2,0,56,80,3120,3360
1,0,60,80,3360,3600
1,0,63,80,3360,3600
1,0,68,80,3360,3840
2,0,56,80,3600,3840
2,0,49,80,3840,4800
1,0,61,80,3840,4080
1,0,65,80,3840,4080
2,0,56,80,4080,4320
2,0,58,80,4320,4560
1,0,66,80,4320,4560
1,0,73,80,4320,4480
1,0,72,80,4480,4640
1,0,61,80,4560,4800
1,0,70,80,4640,4800
2,0,37,80,4800,5760
2,0,56,80,4800,5040
1,0,65,80,4800,5040
1,0,68,80,4800,5520
1,0,61,80,5040,5280
2,0,56,80,5280,5520
1,0,65,80,5280,5520
1,0,61,80,5520,5760
1,0,61,80,5520,5760
2,0,48,80,5760,6240
1,0,63,80,5760,5920
1,0,63,80,5760,6000
1,0,66,80,5760,6000
1,0,70,80,5920,6080
2,0,56,80,6000,6240
1,0,68,80,6080,6240
2,0,49,80,6240,6720
1,0,61,80,6240,6480
1,0,65,80,6240,6400
1,0,65,80,6240,6480
1,0,70,80,6400,6560
2,0,56,80,6480,6720
1,0,68,80,6560,6720
2,0,44,80,6720,7200
1,0,60,80,6720,6960
1,0,63,80,6720,6960
1,0,63,80,6720,7200
2,0,56,80,6960,7200
1,0,60,80,7200,7440
1,0,63,80,7200,7440
2,0,56,80,7440,7680
2,0,37,80,7680,8640
1,0,65,80,7680,8320
2,0,56,80,7840,8000
1,0,61,80,8000,8160
1,0,65,80,8160,8400
1,0,61,80,8320,8480
1,0,65,80,8400,8640
2,0,56,80,8480,8640
2,0,36,80,8640,9600
1,0,68,80,8640,9120
2,0,56,80,8800,8960
1,0,63,80,8960,9120
1,0,66,80,9120,9280
1,0,68,80,9120,9600
1,0,63,80,9280,9440
2,0,56,80,9440,9600
2,0,37,80,9600,10080
1,0,73,80,9600,9960
2,0,56,80,9760,9920
1,0,61,80,9920,10080
1,0,73,80,9960,10080
2,0,41,80,10080,10560
1,0,65,80,10080,10240
1,0,77,80,10080,10240
1,0,61,80,10240,10400
1,0,75,80,10240,10400
2,0,56,80,10400,10560
1,0,73,80,10400,10560
2,0,44,80,10560,11040
1,0,75,80,10560,11040
2,0,56,80,10720,10880
1,0,60,80,10880,11040
1,0,63,80,11040,11200
1,0,60,80,11200,11360
1,0,68,80,11360,11520
2,0,55,80,11520,12000
1,0,61,80,11520,11680
